STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ABW,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Aruba,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.363802057829324E9,1.5221936518636951E9,1.6484635514576E9,1.810857555705775E9,2.001255995481948E9,2.0952597494546633E9,2.1589192315022097E9,2.3509085215177217E9,2.424685609582662E9,2.4894407054233894E9,2.7398981033541355E9,2.918754740617245E9,2.936102553446837E9,3.027319748071745E9,3.3354691239567327E9,3.426871110426726E9,3.5723765967445884E9,3.782521886325656E9,3.926175809157285E9,3.4890751780014415E9,3.434946033941782E9,3.6239318771519346E9,3.549697827018785E9,3.793906436882001E9,3.808447873655636E9,3.8816873946802635E9,3.9269512564296746E9,4.080271623864881E9,4.2786750991811695E9,4.2091103081834464E9,3.1332341569919047E9,3.7807855387409825E9,4.4811471036465845E9,5.000176438228583E9,5.469871318000272E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LSO,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Lesotho,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.3827114674023006E9,1.5290578722765837E9,1.6726936656105144E9,1.7724411368046024E9,1.918539101664292E9,2.0232266306583657E9,2.175581041761591E9,2.2950621709297433E9,2.3565423583514514E9,2.4012662188841453E9,2.5508298212921996E9,2.701162148649088E9,2.762993886752864E9,2.9460178129725685E9,3.076437173061628E9,3.282873966877362E9,3.5272636190687637E9,3.774547161738095E9,4.0597726913747177E9,4.033598929944199E9,4.297759286399771E9,4.588922382324917E9,4.661713347892436E9,5.219948224496318E9,5.764436175639202E9,6.386751308412578E9,6.268088273649985E9,5.649078944014881E9,5.74787143263277E9,5.674505764435638E9,5.721443959411937E9,5.755132494465519E9,6.312660804566153E9,6.659272926510439E9,7.014987702302227E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SVN,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Slovenia,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.6957486836551147E10,2.5388586620046585E10,2.454821402491345E10,2.5844611479366386E10,2.780273220401113E10,2.7136265130156578E10,2.8406237043248905E10,3.0299502919743256E10,3.1693191922416065E10,3.3725135986596027E10,3.558502200802054E10,3.737796121808489E10,3.9899174675887985E10,4.174187207513961E10,4.510807165076749E10,4.737596761372483E10,5.131775598253246E10,5.5433853501416115E10,5.95498722761045E10,5.553741027377832E10,5.649874859147977E10,5.8948688238216576E10,5.921884069196579E10,6.104478266687217E10,6.303880163318325E10,6.4663229172616066E10,6.933415178494072E10,7.476199730245953E10,8.0094210481808E10,8.849166103140068E10,8.781227677606871E10,9.679045987084099E10,1.1056107412278741E11,1.1888173216343831E11,1.2165828641811119E11
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Indonesia,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5.585666946780598E11,6.173700513707268E11,6.724668068524548E11,7.331281473780858E11,8.052398259294766E11,8.89701784258397E11,9.768221323545027E11,1.040368063191521E12,9.139593211728578E11,9.342256325876593E11,1.0023933869782223E12,1.062308403752806E12,1.1273577078811194E12,1.2045711515611929E12,1.2991931806110007E12,1.4162051943551853E12,1.540185871057704E12,1.6822862498520383E12,1.8178159390229194E12,1.9136912214590188E12,2.0575008785953337E12,2.2295117190149707E12,2.4082904055836865E12,2.5242447869972124E12,2.6055174365205063E12,2.6252017343554355E12,2.7157640605427446E12,2.857305082359115E12,3.069918631697011E12,3.266185831776725E12,3.2234045428945957E12,3.5306231404547456E12,3.983074391531859E12,4.334743944551077E12,4.662887595103259E12
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MUS,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Mauritius,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5.304335401692826E9,5.726945383026741E9,6.238932459109389E9,6.711397405175962E9,7.138219202307896E9,7.600370751147192E9,8.171987699738647E9,8.785704218232042E9,9.423901835707708E9,9.806792867587656E9,1.085158859014601E10,1.1467373583418045E10,1.1833642535037674E10,1.2782315734116438E10,1.3694403687070929E10,1.4374841855055845E10,1.553912164792388E10,1.6874155077721483E10,1.812578934976902E10,1.8842175731827053E10,1.990594571022608E10,2.1145045368434856E10,2.167577205281391E10,2.320857504117177E10,2.4334337754209797E10,2.5597955580230946E10,2.7741560246367123E10,2.8963344696025513E10,2.9634148312232323E10,3.0858108173351856E10,2.737324465946466E10,2.913860035774802E10,3.392966172912843E10,3.691089650809261E10,3.966530406602075E10
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,QAT,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Qatar,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.4499649097122192E10,2.4907167744005375E10,2.8361191221070305E10,2.8648710934917965E10,2.967553776849739E10,3.102465573663666E10,3.2974478138177063E10,4.361007614043275E10,4.904764237424564E10,5.1872681726706215E10,5.730643505211982E10,6.088101084890562E10,6.6267614497662445E10,7.008974301302141E10,8.580723920614574E10,9.512860408981158E10,1.2372533748436462E11,1.4993307755130585E11,1.7981562678444556E11,2.0255706663123514E11,2.451863401775594E11,2.8371563211324207E11,3.116569662079045E11,3.242656989402894E11,3.1929571944125775E11,2.4042462160061115E11,2.2277833743948672E11,2.5294853413874887E11,2.8396549100195996E11,2.836624031849466E11,2.2953774094295587E11,2.9265529070051385E11,3.266408160632162E11,3.436052016178121E11,3.602180459261736E11
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FRO,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Faroe Islands,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,1.9981997878002791E9,1.9189791311711705E9,1.9349230232948494E9,2.0452726629632611E9,2.2308917368227673E9,2.4017264839914584E9,2.576292786116255E9,2.6251118700182676E9,2.686800585701813E9,2.8309665192538815E9,3.005353972718499E9,3.222676562519897E9,3.240676994677903E9,3.64687443017944E9,4.0577221831469874E9,4.336519909688721E9,4.478853899578654E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BTN,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Bhutan,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,9.651765665430214E8,9.937471636455324E8,1.0631563605850787E9,1.109975371753862E9,1.1898095353695757E9,1.3006894107393115E9,1.3982127959604664E9,1.4987576566425564E9,1.6052348308216145E9,1.7579255857898443E9,1.8580616400154264E9,2.0391311690703652E9,2.2870909496985726E9,2.5138470135734797E9,2.7145784047801533E9,2.993853472106412E9,3.2602643707794194E9,3.8878770759738374E9,4.142277505585711E9,4.487394036546469E9,5.083865945597512E9,5.629238206588061E9,6.152394144372201E9,6.285876277631598E9,6.8353441125743885E9,7.564534468088036E9,8.430904600975119E9,8.80868229034117E9,9.093982075929628E9,9.873190251017305E9,9.605861812927565E9,1.0436528611924507E10,1.1763540572386374E10,1.2751352311272633E10,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KEN,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,Kenya,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.9587653483520966E10,4.151509727322094E10,4.212169141862395E10,4.3272411383606346E10,4.535995823675364E10,4.8351578866605415E10,5.12785526623958E10,5.241054687260567E10,5.474337014805521E10,5.679794917147442E10,5.843286384606354E10,6.200703161584416E10,6.33149783965385E10,6.645836861126947E10,7.172894687539813E10,7.834760739058902E10,8.599114684148994E10,9.437149336945589E10,9.641319029569548E10,1.0021583941726468E11,1.0960776106945334E11,1.1759802394448198E11,1.2496187845274796E11,1.3974669515158344E11,1.5470932944616495E11,1.73206956148628E11,1.885464570525897E11,2.0551136486513498E11,2.214917172330045E11,2.4000699576766296E11,2.5025539333535815E11,2.841292739253864E11,3.1917932851124286E11,3.495786427537316E11,3.749478688389948E11
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARE,WB_WDI_NY_GDP_MKTP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP, PPP (current international $)",0,WB_WDI,PU,A,Annual,United Arab Emirates,"GDP, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.679071989782764E11,1.7507848123601166E11,1.8505799954423874E11,1.9183373183008282E11,2.094413701354984E11,2.281335916389906E11,2.4578046353366946E11,2.704963577491781E11,2.7433508405250583E11,2.862916520429175E11,3.2455090780885016E11,3.3650177453264026E11,3.500468702756786E11,3.883721225339054E11,4.369682488947689E11,4.7254981526560364E11,5.350422760899075E11,5.670373869740208E11,5.964101696651329E11,5.68626530008777E11,5.84761967138496E11,6.370312550283966E11,6.593024666748151E11,6.733427352314692E11,7.050215500914426E11,6.292690059518339E11,6.253403469398441E11,6.482256752147474E11,7.238667272816282E11,7.539276195955677E11,6.279017420330618E11,6.566653464755632E11,7.563452340494547E11,8.172639037576063E11,8.704386159663389E11
